u,v
2288,2539
620,1016
2244,2288
2675,2676
2561,2562
2288,2587
1200,1657
1273,2550
882,886
1526,1528
1265,2546
2288,2516
1945,2625
63,191
880,2002
1633,1794
2228,2229
663,664
2288,2527
1262,2030
2736,2738
1528,1539
36,132
340,623
2225,2226
1265,2550
1214,1672
1003,2275
2288,2520
356,542
2288,2529
2288,2593
2136,2288
977,1292
2288,2422
2288,2559
851,1872
1945,2631
30,38
339,2834
2587,2592
848,2504
2245,2288
684,1996
36,200
2288,2561
344,371
2288,2570
2288,2515
339,1122
2733,2737
11,2834
1247,1657
351,898
1265,2273
2734,2738
29,35
355,1496
854,1872
2134,2288
351,900
82,89
339,342
62,171
2252,2288
342,353
848,2547
82,91
11,49
353,371
2631,2632
687,689
851,1871
1262,2006
2817,2834
1871,2791
339,2031
1339,1435
2288,2524
1435,1778
62,191
2271,2288
1945,2633
934,2225
345,1016
2286,2288
2288,2560
11,2031
11,2815
849,2504
2733,2736
2226,2231
346,1630
931,935
1016,1122
2588,2592
340,2834
2736,2737
2288,2562
11,2817
1262,2010
354,1490
1339,1778
2188,2551
2288,2519
2288,2583
339,1016
2288,2592
623,2834
693,2112
2225,2273
62,97
36,197
356,1016
2288,2521
2587,2588
343,1016
