u,v
49,2903
55,57
620,1016
14,22
2504,2547
2031,2043
565,2959
2675,2676
2440,2444
69,95
2561,2562
1122,2031
1200,1657
864,869
11,44
2031,2082
1236,1717
22,28
1273,2550
882,886
1526,1528
1265,2546
49,2825
130,138
1504,1516
1945,2625
63,191
880,2002
2283,2437
1633,1794
27,200
354,1016
2228,2229
27,38
1262,2030
81,82
1016,1489
11,39
2736,2738
1528,1539
36,132
11,57
2225,2226
12,22
2718,2742
2739,2740
1265,2550
1214,1672
1003,2275
356,542
2282,2543
2440,2443
977,1292
670,671
2031,2033
11,59
851,1872
566,2813
2624,2645
1945,2631
30,38
1329,1770
339,2834
11,43
2587,2592
2632,2633
848,2504
684,1996
615,621
36,200
57,58
339,1122
2733,2737
2031,2047
11,2834
1247,1657
351,898
1265,2273
2440,2566
2734,2738
2282,2440
2713,2718
355,1496
1123,1734
854,1872
22,41
351,900
885,886
82,89
49,2911
1970,1981
52,57
2806,2811
22,43
49,2822
11,22
914,915
2422,2437
2820,2846
1016,1490
848,2547
566,2959
82,91
2631,2632
864,868
851,1871
1262,2006
2031,2044
49,2815
1871,2791
339,2031
2225,2248
1339,1435
2342,2440
2822,2903
1435,1778
1935,1936
1945,2633
934,2225
1639,1794
345,1016
1270,2031
11,2031
11,2815
849,2504
2733,2736
2644,2646
787,805
49,2826
224,225
2228,2246
346,1630
931,935
139,193
2625,2632
2588,2592
340,2834
2807,2843
2736,2737
11,2817
1262,2010
65,130
1339,1778
2252,2587
2188,2551
2084,2085
1257,1770
11,28
339,1016
13,22
564,2959
623,2834
6,864
2225,2273
2714,2718
62,97
2031,2032
36,197
11,58
2189,2551
913,915
2422,2436
1219,1251
343,1016
