u,v
620,1016
565,2959
1122,2031
1200,1657
1236,1717
1273,2550
882,886
1526,1528
1265,2546
1945,2625
63,191
880,2002
1633,1794
2228,2229
1262,2030
907,917
2736,2738
1528,1539
36,132
340,623
2225,2226
2739,2740
1265,2550
1214,1672
1003,2275
356,542
977,1292
851,1872
566,2813
1945,2631
30,38
1329,1770
339,2834
2587,2592
848,2504
344,371
684,1996
36,200
339,1122
2733,2737
11,2834
1247,1657
351,898
1265,2273
2734,2738
355,1496
1123,1734
854,1872
351,900
907,916
339,342
848,2547
907,918
566,2959
82,91
11,49
353,371
2631,2632
851,1871
1262,2006
2287,2422
2817,2834
1871,2791
339,2031
1339,1435
1435,1778
1945,2633
934,2225
345,1016
11,2031
849,2504
2733,2736
346,1630
931,935
2287,2570
340,2834
2736,2737
11,2817
1262,2010
1339,1778
2252,2587
1257,1770
564,2959
623,2834
2225,2273
62,97
36,197
343,1016
