u,v
49,2903
55,57
620,1016
14,22
2504,2547
2031,2043
2675,2676
69,95
2561,2562
1122,2031
864,869
11,44
2031,2082
22,28
1273,2550
1265,2546
49,2825
130,138
1504,1516
1945,2625
880,2002
2283,2437
27,200
354,1016
2228,2229
27,38
1262,2030
81,82
1016,1489
11,39
36,132
11,57
12,22
2718,2742
1265,2550
1003,2275
2282,2543
2440,2443
670,671
2031,2033
11,59
2624,2645
1945,2631
339,2834
11,43
2587,2592
2632,2633
848,2504
684,1996
615,621
36,200
57,58
339,1122
2031,2047
11,2834
2440,2566
351,898
1265,2273
2282,2440
2713,2718
355,1496
854,1872
22,41
351,900
885,886
82,89
49,2911
1970,1981
52,57
2806,2811
22,43
49,2822
11,22
914,915
2422,2437
2820,2846
1016,1490
848,2547
82,91
864,868
1262,2006
2031,2044
49,2815
339,2031
2225,2248
2342,2440
2822,2903
1935,1936
1945,2633
1639,1794
345,1016
1270,2031
11,2031
11,2815
849,2504
2644,2646
787,805
49,2826
224,225
2228,2246
346,1630
139,193
2625,2632
2588,2592
340,2834
2807,2843
11,2817
1262,2010
65,130
2084,2085
2188,2551
11,28
339,1016
13,22
623,2834
343,1016
6,864
2225,2273
2714,2718
2031,2032
36,197
11,58
2189,2551
913,915
2422,2436
1219,1251
2440,2444
