u,v
3,746
3,902
3,1914
10,138
11,43
11,57
11,2031
11,2834
13,27
22,27
22,28
22,43
27,36
27,40
29,33
29,35
29,132
30,38
32,58
32,138
33,51
34,58
36,132
36,197
36,200
40,41
40,44
41,44
46,58
46,67
50,2797
50,2798
50,2909
62,97
62,171
62,191
62,193
63,191
65,112
69,94
72,167
75,98
75,150
80,153
80,185
80,194
82,89
82,91
82,158
83,147
86,196
88,91
90,91
92,148
94,171
115,116
115,176
116,175
117,194
118,194
119,159
119,177
119,178
119,194
123,126
123,145
127,133
127,143
135,148
151,152
153,194
159,161
159,178
159,194
160,161
162,164
165,194
167,173
169,172
172,194
180,181
182,183
182,185
183,185
187,192
197,199
197,200
204,212
211,754
215,220
224,2095
225,652
225,2096
230,231
231,288
253,348
265,346
266,551
266,552
270,346
270,355
271,355
290,291
291,349
291,383
306,454
317,2840
318,2943
322,625
339,342
339,343
339,589
339,1122
339,2031
339,2834
340,581
340,590
340,623
340,630
340,2834
341,563
341,564
342,353
342,509
342,524
342,589
342,604
342,613
342,614
343,371
343,620
344,615
346,1267
346,1496
346,1630
347,349
349,388
350,389
350,395
350,880
351,352
351,411
351,412
351,451
351,507
351,898
351,900
352,450
352,451
352,452
352,453
352,572
352,898
353,429
354,1490
355,556
356,542
356,642
356,644
356,1016
357,358
358,441
359,360
360,385
360,397
361,385
364,386
365,371
365,434
371,434
377,385
385,395
396,433
398,448
398,454
398,455
399,528
399,529
399,530
400,401
400,530
403,532
405,517
405,522
408,410
412,520
434,443
436,438
446,459
447,461
448,569
448,570
449,570
451,485
456,466
456,467
461,468
474,475
478,496
520,522
524,529
531,532
537,645
539,543
543,544
543,548
543,648
556,1496
558,1496
562,2946
564,2959
565,2959
566,2813
566,2959
568,2959
592,599
610,611
619,640
620,1016
623,630
623,2834
623,2837
652,671
652,1996
652,2096
654,655
655,689
656,670
658,690
660,717
662,692
666,668
666,685
667,717
668,670
668,671
668,688
669,713
670,688
670,713
671,689
674,685
676,687
679,722
679,2631
680,2541
682,687
684,687
684,688
684,1996
687,689
687,1996
694,2087
699,700
699,707
701,2087
702,2087
703,714
704,709
708,712
710,711
712,717
718,720
722,1996
728,731
729,1928
732,1900
734,736
738,851
738,2791
750,754
758,765
759,769
775,806
784,787
822,2547
829,870
829,875
829,1886
829,1891
830,833
831,837
831,848
834,873
838,842
840,841
840,844
846,848
846,849
847,849
847,2503
848,2504
849,2504
851,1871
851,1872
854,1872
856,859
861,868
865,876
865,1930
880,1278
880,1959
882,886
882,900
907,916
907,918
908,1942
919,936
919,2272
922,970
922,1205
922,1258
922,1961
923,1043
923,1049
923,1310
925,984
931,935
934,2225
935,2225
936,1961
936,1966
936,2272
939,1262
940,954
951,952
952,974
962,1327
962,1696
964,1378
969,1327
970,976
976,1269
977,1292
977,1293
977,1486
984,1006
984,1303
989,1275
989,1376
992,1259
997,998
997,1000
1002,2206
1003,2206
1007,1267
1007,1268
1007,1629
1009,1338
1010,1405
1011,1359
1011,1405
1013,1360
1013,1367
1015,1360
1016,1122
1017,1025
1021,1032
1022,1295
1043,1049
1045,1653
1046,1050
1046,1653
1046,2550
1049,1265
1050,2550
1075,1269
1078,1241
1085,1087
1091,1096
1095,1096
1095,1097
1096,1098
1104,1360
1104,2272
1104,2540
1105,1258
1106,1489
1111,1261
1123,1734
1144,1329
1152,1249
1155,1203
1161,1205
1161,1632
1167,1611
